SL.No,Type,ozwin TBC,Ozwin TBC,Part number,Product Number,Model,Description ,SR no,Total Qty,Available,Ordered,Owner,Comments,
16,Drive,,,P54052-002,,VV007680KXNTN,HPE 7.68TB NVMe RI E3S EC1 PM1743 SSD,S77HNG0W700678,1,,122-Middle,Sebin,New Build System,
17,Drive,,,P54052-002,,VV007680KXNTN,HPE 7.68TB NVMe RI E3S EC1 PM1743 SSD P58426,S77HNG0W700679,1,,122-Middle,,,
18,Drive,,,P54052-002,,VV007680KXNTN,HPE 7.68TB NVMe RI E3S EC1 PM1743 SSD P58426,S77HNG0W700681,1,,122-Middle,,,
19,Drive,,,P63826-001,,VV003840KXWBF,3.84TB NVME E3S VRO P5430 SSD-Sol P64196,4C1422MRKF,1,,122-Middle,,,
20,Drive,,,P63826-001,,VV003840KXWBF,3.84TB NVME E3S VRO P5430 SSD-Sol P64196,4C1422MRKD,1,,122-Middle,,,
21,Drive,,,P63827-001,,VK000480GXWBH,480GB SATA RI SFF PM893a SATA-SAM,S7ELNA0X400439,1,,122-Middle,,,
22,Drive,,,P63827-001,,VK000480GXWBH,480GB SATA RI SFF PM893a SATA-SAM,S7ELNA0X400434,1,,122-Middle,,,
23,Drive,,,P67441-001,,MO001600KYFFF,HPE 1.6T NVME MU SFF PS1030 U.3 SSD-SKH,SIC8Q170610108L06,1,,122-Middle,,,
24,Drive,,,P67441-001,,MO001600KYFFF,HPE 1.6T NVME MU SFF PS1030 U.3 SSD-SKH,SIC8Q170610108L08,1,,122-Middle,,,
25,Drive,,,P67441-001,,MO001600KYFFF,HPE 1.6T NVME MU SFF PS1030 U.3 SSD-SKH,SIC8Q170610108L0B,1,,122-Middle,,,
26,Network Adapter,,,P26264-001,P26262-B21,,BCM 57414 10/25GbE 2p SFP28 Adptr,VNM4240770,1,,122-Top,,,
27,Network Adapter,817721-B21,854177-001,817719-001,817721-B21,,HPE Eth 10Gb 2p 535FLR-T Adptr ,1CH7030006,1,,122-Top,,,
28,Network Adapter,P08443-B21,P14483-001,P08441-001,P08443-B21,,INT E810 10/25GbE 2p SEP28 Adptr,MYI414C1HV,1,,122-Top,,,
29,Network Adapter,P08449-B21,P14487-001,P08447-001,P08449-B21,,HPE 1GbE 4P Base I350-T4 OCP3 Adptr,MYI413BVSK,1,,122-Top,,,
30,Network Adapter,P08449-B21,P14487-001,P08447-001,P08449-B21,,HPE 1GbE 4P Base I350-T4 OCP3 Adptr,MYI413BVSC,1,,122-Top,Bramha/Sharan,Inserted in .57(Ultra-light),
31,Network Adapter,P08458-B21,P10582-001,P08456-001,P08458-B21,,INT E810 10/25GbE 4p SEP28 Adptr,MYI2490CLP,1,,122-Top,,,
32,Network Adapter, P10103-B21,P13345-001,P10101-001,	P10103-B21,,HPE Ethernet 10Gb 2-port BaseT QL41132HQRJ OCP3 Adapter,MY503907T1,1,,122-Top,,,
33,Network Adapter,P10115-B21,P14484-001,P10113-001,P10115-B21,,BCM 57414 10/25GbE 2p SFP28 OCP3 Adptr,VNM32305WT,1,,122-Top,,,
34,Network Adapter,P21112-B21,P22201-001,P21114-001,P21112-B21,,INT E810 100GbE 2p QSFP28 Adptr,MYI3071PTR,1,,122-Top,Lend to Sreedhar QA,,
35,Network Adapter,P22702-B21,P23451-001,P22704-001,P22702-B21,,HPE 10/25GbE 2P SFP28 QL41232 Opn Adptr,MY524222DW,1,,122-Top,,,
36,Network Adapter,P26262-B21,P26871-001,P26264-001,P26262-B21,,BCM 57414 10/25GbE 2p SFP28 Adptr,VNM424076S,1,,122-Top,,,
37,Network Adapter,P41614-B21,P41881-001,P41616-001,P41614-B21,,INT E810 10/25GbE 4p SEP28 OCP3 Adptr,1TD134002M,1,,122-Top,,,
38,Network Adapter,P41614-B21,P41881-001,P41616-001,P41614-B21,,INT E810 10/25GbE 4p SEP28 OCP3 Adptr,1TD13200C2,1,,122-Top,,,
39,Network Adapter,,,P51305-001,P51181-B21,,BCM 5719 1Gb 4p BASE-T OCP Adptr,VNM3400219,1,,122-Top,,,
40,Network Adapter,	P65344-B21,,,P65333-B21,,HPE IB NDR200/EN 200G 2p QSFP112 Adptr,ILC34400MY,1,,122-Top,,,
41,Riser,,,PA42520-211,P48803-B21,,PCIe-5 RISER,425202110BJJ101,1,,122-Middle,,,
42,Riser,,,PA42520-211,P48803-B21,,PCIe-5 RISER,425202110BJJ0X0,1,,122-Middle,,,
43,Riser,,,PA42520-211,P48803-B21,,PCIe-5 RISER,425202110BJJ0NY,1,,122-Middle,,,
44,Riser,,,PA42520-211,P48803-B21,,PCIe-5 RISER,425202110BJJ0YX,1,,122-Middle,,,
45,Riser,,,PA42520-211,P48803-B21,,PCIe-5 RISER,425202110BJJ0XY,1,,122-Middle,,,
